indicator_id,indicator_label,area_code,area_name,area_type,sex,age,year,value,lower_ci,upper_ci,count,denominator,compared_to_england
108,Under 75 mortality rate from all causes,E07000085,East Hampshire,district,Persons,<75 yrs,2003 - 05,333.77458,312.178,356.46135,904,303468,Better
108,Under 75 mortality rate from all causes,E07000085,East Hampshire,district,Male,<75 yrs,2004,389.9681,332.7882,454.06987,169,50487,Better
108,Under 75 mortality rate from all causes,E07000085,East Hampshire,district,Female,<75 yrs,2004,272.0775,226.28084,324.36012,126,50665,Better
108,Under 75 mortality rate from all causes,E07000085,East Hampshire,district,Persons,<75 yrs,2004,329.29292,292.45216,369.45715,295,101152,Better
108,Under 75 mortality rate from all causes,E07000085,East Hampshire,district,Male,<75 yrs,2004 - 06,383.46356,350.51526,418.64876,509,151548,Better
108,Under 75 mortality rate from all causes,E07000085,East Hampshire,district,Female,<75 yrs,2004 - 06,270.01334,243.57843,298.51484,388,152898,Better
108,Under 75 mortality rate from all causes,E07000085,East Hampshire,district,Persons,<75 yrs,2004 - 06,324.97593,303.85153,347.17094,897,304446,Better
108,Under 75 mortality rate from all causes,E07000085,East Hampshire,district,Male,<75 yrs,2005,340.94704,288.33001,400.30379,152,50434,Better
108,Under 75 mortality rate from all causes,E07000085,East Hampshire,district,Female,<75 yrs,2005,273.76287,228.34528,325.5057,130,51008,Similar
108,Under 75 mortality rate from all causes,E07000085,East Hampshire,district,Persons,<75 yrs,2005,306.48814,271.43117,344.7833,282,101442,Better
108,Under 75 mortality rate from all causes,E07000085,East Hampshire,district,Male,<75 yrs,2005 - 07,372.60722,340.46766,406.93773,505,152122,Better
108,Under 75 mortality rate from all causes,E07000085,East Hampshire,district,Female,<75 yrs,2005 - 07,256.88982,231.50905,284.27368,381,153948,Better
108,Under 75 mortality rate from all causes,E07000085,East Hampshire,district,Persons,<75 yrs,2005 - 07,312.96175,292.48864,334.47908,886,306070,Better
108,Under 75 mortality rate from all causes,E07000085,East Hampshire,district,Male,<75 yrs,2006,419.48794,360.99703,484.66986000000003,188,50627,Better
108,Under 75 mortality rate from all causes,E07000085,East Hampshire,district,Female,<75 yrs,2006,264.76923,221.11332,314.45544,132,51225,Similar
